Date,BMW.DE,MBG.DE,PAH3.DE
2023-11-17,89.64897918701172,54.362892150878906,43.74821472167969
2023-11-20,90.1574935913086,54.66903305053711,44.269588470458984
2023-11-21,88.0951919555664,53.954708099365234,43.51122283935547
2023-11-22,88.74495697021484,54.06603240966797,43.18891906738281
2023-11-23,88.64137268066406,54.028926849365234,42.77181625366211
2023-11-24,88.5660400390625,54.32578659057617,42.62014389038086
2023-11-27,87.98218536376953,54.1402473449707,42.34523391723633
2023-11-28,87.72793579101562,53.769168853759766,42.07032775878906
2023-11-29,90.46825408935547,55.00300598144531,42.85713195800781
2023-11-30,90.0162353515625,55.272037506103516,42.52534866333008
2023-12-01,90.58126068115234,55.791542053222656,42.80973434448242
2023-12-04,90.55300903320312,56.14406967163086,42.98036575317383
2023-12-05,91.96554565429688,57.0068244934082,43.49226379394531
